"","Identificador","Nombre de la base","Clave de campo","Descripción de Campo","Unidades","Cobertura Geografica","Fecha inicio","Fecha final"
"1","1.1","Población total y tasa de crecimiento media anual 1990-2020 por alcaldía","Año","Año","NA","Alcaldía, CDMX",1990,2020
"2","1.1","Población total y tasa de crecimiento media anual 1990-2020 por alcaldía","Alcaldia","Alcaldia","NA","Alcaldía, CDMX",1990,2020
"3","1.1","Población total y tasa de crecimiento media anual 1990-2020 por alcaldía","Población total","Población total","Población","Alcaldía, CDMX",1990,2020
